X,Y,ele
426896.523208759,4503790.06335833,889.5
426874.274319381,4503788.07703781,889.72
426852.444800008,4503786.23553699,889.45
426831.225073484,4503784.45322576,888.82
426810.756240342,4503782.67288959,889.27
426790.854061627,4503780.88701298,888.71
426771.206411458,4503779.05216417,889.09
426751.573739437,4503777.30095881,889.44
426731.743179387,4503775.5982841,889.63
426711.947483268,4503773.8394881,889.49
426692.250477239,4503772.03324371,889.06
426672.411251088,4503770.17262544,889.54
426652.473488685,4503768.37817727,889.43
426632.620620073,4503766.57362954,889.66
426612.887694284,4503764.72142264,890.56
426592.828198203,4503762.79804819,891.09
426572.87566811,4503760.94811759,890.96
426553.306733327,4503759.20611815,891.39
426534.071806442,4503757.57252624,891.82
426514.937226756,4503756.0589543,891.92
426495.866389968,4503754.54480062,892.16
426476.703641499,4503753.05021187,892.47
426457.464267395,4503751.68671968,892.18
426438.120662011,4503750.52901222,892.9
426418.85781372,4503749.65901937,893.5
426399.631768139,4503748.92830343,893.74
426380.506168831,4503748.32689681,893.43
426361.525092289,4503748.01258207,893.78
426342.588642159,4503747.91189026,894.06
426323.731112441,4503747.91282078,894.2
426304.931544377,4503748.04350158,894.59
426286.247431771,4503748.38710119,894.7
426267.60132294,4503748.99092565,894.66
426248.723864043,4503749.83903194,895.36
426229.614611694,4503750.88488827,895.59
426210.642159151,4503752.15276617,896.07
426191.621787794,4503753.5886702,896.57
426172.7597585,4503755.27427898,896.22
426154.078243408,4503757.30244695,895.77
426135.463719404,4503759.65567326,895.76
426116.945365567,4503762.41742902,895.56
426098.374520338,4503765.59848482,895.84
426079.667486823,4503769.3299629,896.13
426061.235106195,4503773.60776329,896.32
426043.105615956,4503778.42228859,896.2
426025.193180673,4503783.69066308,896.18
426007.44711951,4503789.30172996,896.41
425989.61784086,4503795.09045157,896.76
425971.796606728,4503800.97220149,896.92
425953.804100212,4503806.72542473,897.06
425935.631383516,4503812.1641149,897.14
425917.580626709,4503817.04331017,897.62
425899.564778616,4503821.15916383,897.94
425881.469481365,4503824.41047074,897.6
425863.20394275,4503826.92840422,897.41
425844.75548912,4503828.86197604,897.96
425826.00629709,4503830.47290855,898.11
425807.298215893,4503831.94389696,898.12
425788.660880889,4503833.40492257,898.1
425770.159438114,4503834.99491471,897.97
425751.683060528,4503836.9662105,898.15
425733.155697519,4503839.50568935,898.59
425714.514169043,4503842.66981385,898.59
425696.085518846,4503846.57627658,899.73
425677.990257566,4503851.23318442,900.02
425660.192965286,4503856.64087848,899.32
425642.404928737,4503862.96974897,899.74
425624.774138796,4503870.14386634,900.38
425607.560644315,4503877.95591039,900.74
425591.025482576,4503886.30090585,900.8
425575.124775758,4503895.03971797,900.71
425559.63715723,4503903.99774549,901.1
425544.315104632,4503913.21469114,902.21
425529.120675641,4503922.43970398,903.08
425514.095069192,4503931.54208103,903.72
425499.125599631,4503940.58809612,904.13
425484.241822816,4503949.69841597,904.53
425469.555658882,4503958.73234691,904.8
425454.869903833,4503967.8035165,905.45
425440.135539887,4503976.96826929,906.5
425425.274833165,4503986.24598142,907.38
425410.336063504,4503995.50589084,908.28
425395.291925129,4504004.85064071,908.67
425380.361534871,4504014.23150305,908.8
425365.480190803,4504023.55606218,910.12
425350.520979948,4504032.88144593,911.11
425335.469535625,4504042.18917063,913.08
425320.488959617,4504051.49622532,913.85
425305.57123423,4504060.70961386,914.33
425290.757911004,4504069.73587481,915.75
425275.808741546,4504078.63326622,916.63
425261.047850042,4504087.23102502,917.33
425246.45957284,4504095.38042324,917.82
425232.056383177,4504102.91383227,917.86
425217.589817226,4504109.77792261,918.15
425203.066944173,4504115.97263441,918.59
425188.658504032,4504121.57068459,918.75
425174.081462206,4504126.60283376,919.71
425159.145702992,4504131.18265934,920.38
425144.3536301,4504135.25858331,920.62
425130.158187325,4504138.78882548,920.78
425116.431677125,4504141.75604136,920.92
425102.615586606,4504144.26821849,921
425088.816346094,4504146.3429123,921.75
425075.360135938,4504148.01403349,922.34
425062.226742729,4504149.38415261,922.54
425049.084582265,4504150.58689261,922.91
425035.856673246,4504151.71608482,923.24
425022.592695103,4504152.78052021,923.5
425009.341481899,4504153.70526913,923.6
424995.948329725,4504154.6035546,923.8
424982.307275798,4504155.50437961,925.04
424968.227843286,4504156.48409566,925.59
424953.823248032,4504157.53226904,925.48
424939.411489205,4504158.57122855,926.26
424924.702901879,4504159.67836152,926.78
424909.442329429,4504160.83762112,927.13
424894.061533513,4504162.01674559,927.37
424878.651569456,4504163.112446,927.18
424862.858938348,4504164.1934438,927.3
424846.443681484,4504165.34590978,927.45
424829.908586786,4504166.55546663,927.54
424813.472745589,4504167.77334763,927.55
424796.789758585,4504169.06821578,927.66
424779.945381043,4504170.51364093,928.21
424763.336627527,4504172.1428259,928.77
424747.10516705,4504173.95433356,928.57
424731.132179617,4504176.10754257,928.31
424715.128030585,4504178.67985764,928.24
424698.96759272,4504181.90515036,928.39
424682.686568669,4504185.81100271,928.57
424666.321030008,4504190.46217218,928.96
