x,y,z
422604.76,4474516.91,742
422620.47,4474513.26,742.25
422637.39,4474509.55,742.71
422655.6,4474505.26,743.03
422673.47,4474500.56,743.19
422690.3,4474495.38,743.37
422707.37,4474489.29,743.88
422723.22,4474478.41,744.48
422738.96,4474467.16,744.61
422754.96,4474455.54,744.87
422770.02,4474443.76,744.26
422781.88,4474428.99,743.64
422793.48,4474414.26,742.79
422804.96,4474398.48,741.47
422816.62,4474382.21,740.07
422827.45,4474365.48,738.59
422839.27,4474348.23,737.12
422850.46,4474331.24,735.71
422861.62,4474315.28,734.37
422873.72,4474300.1,733.06
422886.71,4474285.53,731.96
422900.49,4474272.2,730.84
422914.95,4474260.23,729.79
422930.38,4474249.32,728.77
422946.31,4474239.44,728.07
422962.6,4474230.17,727.71
422979.73,4474221.39,727.47
422997.75,4474212.84,727.62
423016.22,4474204.92,728.1
423035.06,4474197.64,728.66
423055.24,4474191.91,729.25
423075.51,4474186.41,729.64
423095.06,4474180.61,730.06
423114.83,4474175.21,730.35
423133.65,4474169.9,731.15
423152.72,4474164.04,732.22
423171.34,4474158.07,733.23
423189.01,4474152.06,733.99
423207.37,4474145.55,734.5
423226.34,4474138.24,735.17
423245.62,4474130.9,735.92
423265,4474123.7,736.44
423283.62,4474117.03,736.73
423302,4474110.38,737.2
423319.88,4474103.74,738.29
423337.23,4474097.23,739.64
423354.25,4474090.39,740.77
423370.95,4474083.12,742
423388.08,4474075.76,743.12
423404.88,4474068.15,744.52
423421.69,4474060.7,746.34
423438.43,4474052.98,747.95
423455.65,4474045.08,749.31
423472.2,4474037.53,750.41
423489.23,4474029.63,751.03
423506.55,4474021.55,751.21
423525.09,4474012.79,750.97
423542.74,4474004.35,750.81
423560.59,4473996.19,750.85
423578.4,4473987.84,751.13
423595.5,4473980.14,751.73
423612.7,4473972.49,752.56
423629.79,4473965.06,753.32
423647.01,4473958.68,753.8
423665.02,4473953.02,754.02
423683.22,4473948.45,754.4
423701.5,4473944.92,754.38
423720.15,4473942.06,754.18
423737.73,4473939.81,753.83
423753.26,4473938.55,753.57
423768.46,4473937.3,753.12
