X,Y,Z
478850.5,4435034.486,587.858
478849.571,4435034.257,587.866
478848.644,4435034.029,587.857
478847.71,4435033.801,587.854
478846.769,4435033.568,587.853
478845.828,4435033.338,587.842
478844.893,4435033.114,587.831
478843.957,4435032.888,587.832
478843.031,4435032.657,587.83
478842.096,4435032.426,587.837
478841.157,4435032.195,587.841
478840.205,4435031.954,587.846
478839.261,4435031.719,587.841
478838.32,4435031.488,587.839
478837.378,4435031.257,587.836
478836.434,4435031.022,587.838
478835.484,4435030.787,587.835
478834.531,4435030.554,587.829
478833.583,4435030.318,587.819
478832.635,4435030.082,587.817
478831.691,4435029.852,587.808
478830.741,4435029.622,587.801
478829.793,4435029.379,587.802
478828.844,4435029.131,587.806
478827.895,4435028.886,587.803
478826.946,4435028.634,587.8
478825.998,4435028.382,587.805
478825.043,4435028.139,587.809
478824.083,4435027.894,587.805
478823.124,4435027.658,587.8
478822.169,4435027.412,587.8
478821.22,4435027.169,587.8
478820.265,4435026.919,587.811
478819.313,4435026.671,587.81
478818.353,4435026.426,587.815
478817.397,4435026.185,587.815
478816.437,4435025.95,587.816
478815.477,4435025.715,587.82
478814.519,4435025.468,587.822
478813.563,4435025.221,587.833
478812.601,4435024.975,587.832
478811.641,4435024.738,587.831
478810.684,4435024.496,587.831
478809.723,4435024.255,587.837
478808.761,4435024.023,587.834
478807.797,4435023.776,587.828
478806.825,4435023.534,587.822
478805.856,4435023.289,587.813
478804.895,4435023.049,587.806
478803.933,4435022.809,587.8
478802.978,4435022.569,587.795
478802.017,4435022.332,587.799
478801.049,4435022.093,587.793
478800.08,4435021.845,587.786
478799.112,4435021.607,587.776
478798.155,4435021.371,587.775
478797.196,4435021.138,587.775
478796.236,4435020.896,587.79
478795.276,4435020.654,587.796
478794.31,4435020.418,587.807
478793.339,4435020.173,587.808
478792.369,4435019.935,587.807
478791.404,4435019.698,587.796
478790.439,4435019.466,587.791
478789.474,4435019.236,587.783
478788.507,4435018.987,587.779
478787.538,4435018.75,587.782
478786.577,4435018.507,587.777
478785.604,4435018.264,587.771
478784.629,4435018.02,587.776
478783.658,4435017.776,587.76
478782.678,4435017.537,587.758
478781.703,4435017.295,587.742
478780.726,4435017.059,587.734
478779.746,4435016.821,587.724
478778.767,4435016.582,587.721
478777.787,4435016.336,587.709
478776.809,4435016.093,587.706
478775.824,4435015.846,587.689
478774.839,4435015.602,587.681
478773.848,4435015.355,587.668
478772.865,4435015.108,587.665
478771.888,4435014.868,587.662
478770.904,4435014.627,587.664
478769.916,4435014.388,587.674
478768.924,4435014.14,587.686
478767.927,4435013.899,587.685
478766.928,4435013.657,587.679
478765.931,4435013.413,587.678
478764.935,4435013.173,587.664
478763.939,4435012.924,587.653
478762.944,4435012.668,587.646
478761.958,4435012.421,587.635
478760.969,4435012.165,587.629
478759.969,4435011.906,587.627
478758.964,4435011.646,587.625
478757.966,4435011.393,587.609
478756.968,4435011.142,587.604
478755.97,4435010.899,587.594
478754.967,4435010.649,587.585
478753.964,4435010.389,587.579
478752.961,4435010.133,587.562
478751.956,4435009.88,587.553
478750.956,4435009.622,587.539
478749.953,4435009.369,587.535
478748.945,4435009.124,587.531
478747.931,4435008.873,587.523
478746.919,4435008.621,587.518
478745.92,4435008.372,587.506
478744.918,4435008.118,587.503
478743.909,4435007.868,587.513
478742.896,4435007.612,587.517
478741.891,4435007.364,587.512
478740.88,4435007.117,587.511
478739.869,4435006.876,587.503
478738.856,4435006.634,587.493
478737.846,4435006.385,587.485
478736.844,4435006.138,587.486
478735.84,4435005.892,587.476
478734.829,4435005.645,587.478
478733.814,4435005.393,587.471
478732.805,4435005.139,587.473
478731.793,4435004.899,587.468
478730.786,4435004.651,587.455
478729.778,4435004.405,587.449
478728.769,4435004.16,587.444
478727.767,4435003.92,587.439
478726.758,4435003.668,587.44
478725.749,4435003.425,587.444
