y,x,z
4504304.073,431563.993,936.036
4504303.419,431561.816,936.033
4504302.766,431559.644,936.027
4504302.115,431557.47,936.022
4504301.462,431555.293,936.004
4504300.804,431553.113,936.006
4504300.14,431550.931,935.991
4504299.477,431548.751,935.973
4504298.818,431546.566,935.961
4504298.16,431544.379,935.94
4504297.499,431542.191,935.922
4504296.846,431540.002,935.908
4504296.189,431537.806,935.902
4504295.539,431535.612,935.879
4504294.883,431533.414,935.868
4504294.231,431531.215,935.854
4504293.58,431529.016,935.844
4504292.931,431526.81,935.834
4504292.282,431524.606,935.828
4504291.636,431522.398,935.818
4504290.989,431520.185,935.801
4504290.341,431517.979,935.788
4504289.696,431515.766,935.775
4504289.051,431513.555,935.774
4504288.407,431511.335,935.762
4504287.767,431509.123,935.752
4504287.132,431506.903,935.738
4504286.496,431504.685,935.732
4504285.86,431502.466,935.73
4504285.225,431500.241,935.71
4504284.588,431498.022,935.7
4504283.956,431495.804,935.691
4504283.333,431493.586,935.685
4504282.713,431491.359,935.683
4504282.099,431489.134,935.654
4504281.491,431486.912,935.636
4504280.88,431484.69,935.617
4504280.271,431482.467,935.608
4504279.67,431480.249,935.582
4504279.073,431478.029,935.576
4504278.477,431475.81,935.569
4504277.892,431473.594,935.549
4504277.31,431471.372,935.526
4504276.735,431469.157,935.508
4504276.178,431466.939,935.492
4504275.623,431464.716,935.487
4504275.064,431462.505,935.484
4504274.517,431460.301,935.467
4504273.986,431458.088,935.456
4504273.477,431455.869,935.424
4504272.963,431453.649,935.411
4504272.456,431451.441,935.397
4504271.958,431449.227,935.37
4504271.479,431447.015,935.333
4504271.011,431444.79,935.317
4504270.56,431442.58,935.298
4504270.096,431440.369,935.302
4504269.632,431438.165,935.312
4504269.184,431435.948,935.306
4504268.746,431433.74,935.306
4504268.343,431431.518,935.242
4504267.939,431429.314,935.199
4504267.543,431427.099,935.189
4504267.144,431424.887,935.19
4504266.747,431422.689,935.16
4504266.366,431420.49,935.131
4504266.004,431418.277,935.12
4504265.648,431416.065,935.11
4504265.298,431413.868,935.089
4504264.95,431411.672,935.078
4504264.613,431409.475,935.086
4504264.288,431407.284,935.083
4504263.995,431405.085,935.067
4504263.722,431402.874,935.04
4504263.453,431400.656,935.017
4504263.2,431398.459,935.002
4504262.952,431396.273,934.994
4504262.715,431394.079,935.002
4504262.504,431391.876,934.985
4504262.303,431389.669,934.956
4504262.106,431387.467,934.931
4504261.92,431385.277,934.912
4504261.741,431383.087,934.904
4504261.57,431380.894,934.899
4504261.416,431378.702,934.882
4504261.269,431376.507,934.87
4504261.129,431374.322,934.862
4504261.002,431372.135,934.833
4504260.886,431369.943,934.839
4504260.788,431367.755,934.813
4504260.693,431365.573,934.792
4504260.602,431363.396,934.785
4504260.523,431361.211,934.767
4504260.452,431359.031,934.756
4504260.393,431356.856,934.739
4504260.333,431354.682,934.736
4504260.241,431350.343,934.716
4504260.241,431350.343,934.716
4504260.223,431348.178,934.692
4504260.215,431346.007,934.673
4504260.215,431343.842,934.668
4504260.22,431341.675,934.669
4504260.239,431339.51,934.657
4504260.275,431337.35,934.651
4504260.316,431335.192,934.63
4504260.361,431333.032,934.631
4504260.424,431330.873,934.605
4504260.493,431328.717,934.589
4504260.568,431326.565,934.586
4504260.658,431324.418,934.567
4504260.762,431322.258,934.569
4504260.875,431320.101,934.55
4504260.993,431317.951,934.546
4504261.121,431315.803,934.525
4504261.261,431313.65,934.507
4504261.423,431311.498,934.484
4504261.586,431309.346,934.517
4504261.763,431307.205,934.519
4504261.933,431305.051,934.526
4504262.113,431302.906,934.518
4504262.319,431300.766,934.495
4504262.542,431298.624,934.48
4504262.775,431296.477,934.459
4504263.015,431294.339,934.436
4504263.259,431292.195,934.428
4504263.513,431290.062,934.415
4504263.781,431287.924,934.405
4504264.062,431285.782,934.398
4504264.352,431283.644,934.384
4504264.653,431281.515,934.366
4504264.96,431279.386,934.363
4504265.273,431277.256,934.343
4504265.596,431275.124,934.328
4504265.94,431272.998,934.295
4504266.291,431270.876,934.267
4504266.649,431268.748,934.256
4504267.017,431266.615,934.24
4504267.388,431264.485,934.214
4504267.759,431262.36,934.192
4504268.144,431260.247,934.177
4504268.534,431258.14,934.164
4504268.934,431256.029,934.146
4504269.357,431253.912,934.119
4504269.791,431251.797,934.097
4504270.229,431249.686,934.088
4504270.668,431247.578,934.067
4504271.116,431245.47,934.037
4504272.056,431241.278,933.976
4504272.056,431241.278,933.976
4504272.535,431239.168,933.972
4504273.022,431237.056,933.956
4504273.517,431234.959,933.925
4504274.008,431232.861,933.907
4504274.501,431230.762,933.895
4504275.004,431228.657,933.874
4504275.523,431226.548,933.843
4504276.05,431224.441,933.811
4504276.568,431222.34,933.771
4504277.088,431220.257,933.74
4504277.597,431218.168,933.72
4504278.121,431216.075,933.688
4504278.648,431213.975,933.66
4504279.185,431211.875,933.621
4504279.721,431209.784,933.595
4504280.25,431207.686,933.585
4504280.781,431205.586,933.56
4504281.314,431203.486,933.521
4504281.852,431201.392,933.477
4504282.39,431199.294,933.451
